,#,Transaction Date,Owner,Ticker,Asset Name,Asset Type,Type,Amount,Comment,Senator
3621,21,11/10/2014,Spouse,FOXA,"Twenty-First Century Fox, Inc. (NASDAQ)",,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3622,20,11/10/2014,Spouse,TWX,Time Warner Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3623,19,11/10/2014,Spouse,TXN,Texas Instruments Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3624,18,11/10/2014,Spouse,TFX,Teleflex Incorporated (NYSE),,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3625,17,11/10/2014,Spouse,SRCL,"Stericycle, Inc. (NASDAQ)",,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3626,16,11/10/2014,Spouse,HSIC,"Henry Schein, Inc. (NASDAQ)",,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3627,15,11/10/2014,Spouse,ROP,Roper Industries Inc. (NYSE),,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3628,14,11/10/2014,Spouse,RTN,Raytheon Company (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3629,13,11/10/2014,Spouse,PCP,Precision Castparts Corp. (NYSE),,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3630,12,11/10/2014,Spouse,MET,"MetLife, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3631,11,11/10/2014,Spouse,INTC,Intel Corporation (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3632,10,11/10/2014,Spouse,GILD,Gilead Sciences Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3633,9,11/10/2014,Spouse,XOM,Exxon Mobil Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3634,8,11/10/2014,Spouse,DD,E. I. du Pont de Nemours and Company (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3635,7,11/10/2014,Spouse,COP,ConocoPhillips (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3636,6,11/10/2014,Spouse,CVX,Chevron Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3637,5,11/10/2014,Spouse,AAPL,Apple Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3638,4,11/10/2014,Spouse,APH,Amphenol Corporation (NYSE),,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3639,3,11/10/2014,Spouse,AMLP,Alerian MLP ETF (NYSEArca),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3640,2,11/10/2014,Spouse,ALL,The Allstate Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3641,1,11/10/2014,Spouse,T,"AT&T, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3642,5,04/02/2014,Spouse,C,Citigroup Inc. (NYSE),,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3643,4,03/28/2014,Spouse,WIN,"Windstream Holdings, Inc. (NASDAQ)",,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3644,3,03/31/2014,Spouse,ACE,ACE Limited (NYSE),,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3645,2,03/31/2014,Spouse,DAL,Delta Air Lines Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3646,1,03/28/2014,Spouse,DAL,Delta Air Lines Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3647,7,12/21/2018,Spouse,LIN,Linde plc,Stock,Sale (Full),"$15,001 - $50,000",--,"Susan M,Collins"
3648,6,12/21/2018,Spouse,FB,"Facebook, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3649,5,12/21/2018,Spouse,XOM,Exxon Mobil Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3650,4,12/21/2018,Spouse,ENB,Enbridge Inc.,Stock,Sale (Full),"$15,001 - $50,000",--,"Susan M,Collins"
3651,3,12/21/2018,Spouse,CFR,"Cullen/Frost Bankers, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3652,2,12/21/2018,Spouse,STZ,"Constellation Brands, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,"Susan M,Collins"
3653,1,12/21/2018,Spouse,NEE,"NextEra Energy, Inc.",Stock,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3654,2,08/15/2019,Spouse,CVET,"Covetrus, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3655,1,08/20/2019,Spouse,AKAM,"Akamai Technologies, Inc.",Stock,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3656,1,02/28/2017,Spouse,#NAME?,"Spectra Energy Corp. (Exchanged)
Enbridge Inc. (Received)",Stock,Exchange,"$15,001 - $50,000",Spectra acquired by Enbridge in stock merger.,"Susan M,Collins"
3657,9,01/15/2014,Spouse,CVX,Chevron Corporation (NYSE),Stock,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3658,8,01/07/2014,Spouse,VZ,Verizon Communications Inc. (NYSE),Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3659,7,01/29/2014,Spouse,MSFT,Microsoft Corporation (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3660,6,01/29/2014,Spouse,C,"Citigroup, Inc. (NYSE)",,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3661,5,01/29/2014,Spouse,C,"Citigroup, Inc. (NYSE)",,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3662,4,01/28/2014,Spouse,EBAY,eBay Inc. (NASDAQ),,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3663,3,01/24/2014,Spouse,FB,"Facebook, Inc. (NASDAQ)",,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3664,2,01/24/2014,Spouse,CRM,"Salesforce.com, Inc (NYSE)",,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3665,1,01/24/2014,Spouse,GE,General Electric Company (NYSE),,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3666,12,12/30/2016,Spouse,--,PRGO-Perrigo Company plc,Stock,Sale (Full),"$15,001 - $50,000",--,"Susan M,Collins"
3667,11,12/16/2016,Spouse,ESRX,Express Scripts Holding Company,Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3668,10,12/01/2016,Spouse,VZ,Verizon Communications Inc.,Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3669,9,12/01/2016,Spouse,SRCL,"Stericycle, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,"Susan M,Collins"
3670,8,12/01/2016,Spouse,GOOG,Alphabet Inc.,Stock,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3671,7,12/30/2016,Spouse,COP,ConocoPhillips,Stock,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3672,6,12/20/2016,Spouse,--,"Washington State Federal Highway Grant
Rate/Coupon: 5.0%
Matures: 09/01/2019",Municipal Security,Purchase,"$15,001 - $50,000",Federal Government grant.,"Susan M,Collins"
3673,5,12/01/2016,Spouse,TSCO,Tractor Supply Company,Stock,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3674,4,12/01/2016,Spouse,TMK,Torchmark Corporation,Stock,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3675,3,12/01/2016,Spouse,MTD,Mettler-Toledo International Inc.,Stock,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3676,2,12/01/2016,Spouse,HOLX,"Hologic, Inc.",Stock,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3677,1,12/01/2016,Spouse,AWK,"American Water Works Company, Inc.",Stock,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3678,31,06/17/2014,Spouse,--,Allianzgi Short Duration,Stock,Sale (Full),"$15,001 - $50,000",--,"Susan M,Collins"
3679,30,06/19/2014,Spouse,LMGEX,Legg Mason Batterymarch Intl Eq C (NASDAQ),,Sale (Full),"$15,001 - $50,000",--,"Susan M,Collins"
3680,29,06/19/2014,Spouse,WY,Weyerhaeuser Co. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3681,28,06/19/2014,Spouse,WCN,Waste Connections Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3682,27,06/19/2014,Spouse,WMT,Wal-Mart Stores Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3683,26,06/19/2014,Spouse,UPS,"United Parcel Service, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3684,25,06/19/2014,Spouse,TCAP,Triangle Capital Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3685,24,06/19/2014,Spouse,SRCL,"Stericycle, Inc. (NASDAQ)",,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3686,23,06/19/2014,Spouse,SBGI,"Sinclair Broadcast Group, Inc. (NASDAQ)",,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3687,22,06/19/2014,Spouse,ROP,Roper Industries Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3688,21,06/19/2014,Spouse,ROC,"Rockwood Holdings, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3689,20,06/19/2014,Spouse,PG,The Procter & Gamble Company (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3690,19,06/19/2014,Spouse,PX,Praxair Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3691,18,06/19/2014,Spouse,PNM,"PNM Resources, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3692,17,06/19/2014,Spouse,PRGO,Perrigo Company Public Limited Company (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3693,16,06/19/2014,Spouse,PRE,PartnerRe Ltd. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3694,15,06/19/2014,Spouse,OXY,Occidental Petroleum Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3695,14,06/19/2014,Spouse,MCHP,Microchip Technology Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3696,13,06/19/2014,Spouse,MPW,Medical Properties Trust Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3697,12,06/19/2014,Spouse,LVS,Las Vegas Sands Corp. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3698,11,06/19/2014,Spouse,HFC,HollyFrontier Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3699,10,06/19/2014,Spouse,GOOGL,Google Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3700,9,06/19/2014,Spouse,GS,"The Goldman Sachs Group, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3701,8,06/19/2014,Spouse,AJG,Arthur J Gallagher & Co. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3702,7,06/19/2014,Spouse,FNF,"Fidelity National Financial, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3703,6,06/19/2014,Spouse,CR,Crane Co. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3704,5,06/19/2014,Spouse,C,Citigroup Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3705,4,06/19/2014,Spouse,CMO,Capstead Mortgage Corp. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3706,3,06/19/2014,Spouse,BMY,Bristol-Myers Squibb Company (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3707,2,06/19/2014,Spouse,AIT,"Applied Industrial Technologies, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3708,1,06/19/2014,Spouse,AGCO,AGCO Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3709,1,05/31/2018,Spouse,--,"Maine St Housing Auth 56052FKZ7
Rate/Coupon: 2.400%
Matures: 11/15/2023",Municipal Security,Purchase,"$15,001 - $50,000",State security.,"Susan M,Collins"
3710,40,07/23/2014,Spouse,LNT,Alliant Energy Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3711,39,07/23/2014,Spouse,ARE,"Alexandria Real Estate Equities, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3712,38,07/23/2014,Spouse,BUD,Anheuser-Busch InBev SA/NV (NYSE),Stock,Sale (Full),"$1,001 - $15,000",Asset acquired through UBS accounts in small pieces(less than $1000) from Jan - Apr 2014.,"Susan M,Collins"
3713,37,07/23/2014,Spouse,AMT,American Tower Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3714,36,07/23/2014,Spouse,BIIB,Biogen Idec Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3715,35,07/23/2014,Spouse,BTE,Baytex Energy Corp. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3716,34,07/23/2014,Spouse,BWA,BorgWarner Inc. (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3717,33,07/23/2014,Spouse,BMR,BioMed Realty Trust Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3718,32,07/23/2014,Spouse,DAL,Delta Air Lines Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3719,31,07/23/2014,Spouse,CME,CME Group Inc. (NASDAQ),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3720,30,07/23/2014,Spouse,ECL,Ecolab Inc. (NYSE),,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3721,29,07/23/2014,Spouse,EMC,EMC Corporation (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3722,28,07/23/2014,Spouse,EPR,EPR Properties (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3723,27,07/23/2014,Spouse,ENLC,"EnLink Midstream, LLC (NYSE)",Stock,Sale (Full),"$1,001 - $15,000","Asset purchased on March 31, 2014 for $608.98 thru UBS accounts.","Susan M,Collins"
3724,26,07/23/2014,Spouse,GE,General Electric Company (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3725,25,07/23/2014,Spouse,GRMN,Garmin Ltd. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3726,24,07/23/2014,Spouse,HRS,Harris Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3727,23,07/23/2014,Spouse,HCC,HCC Insurance Holdings Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3728,22,07/23/2014,Spouse,HUB-B,Hubbell Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3729,21,07/23/2014,Spouse,HTGC,"Hercules Technology Growth Capital, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3730,20,07/23/2014,Spouse,JNJ,Johnson & Johnson (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3731,19,07/23/2014,Spouse,HUN,Huntsman Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3732,18,07/23/2014,Spouse,MMC,"Marsh & McLennan Companies, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3733,17,07/23/2014,Spouse,LECO,Lincoln Electric Holdings Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3734,16,07/23/2014,Spouse,NSRGY,Nestl (OTC Markets),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3735,15,07/23/2014,Spouse,MCK,McKesson Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3736,14,07/23/2014,Spouse,PPG,PPG Industries Inc. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3737,13,07/23/2014,Spouse,OGS,"ONE Gas, Inc. Common Stock (NYSE)",Stock,Sale (Full),"$1,001 - $15,000",Asset acquired through UBS accounts in small pieces(less than $1000) from Jan - Apr 2014.,"Susan M,Collins"
3738,12,07/23/2014,Spouse,PGH,Pengrowth Energy Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3739,11,07/23/2014,Spouse,PKG,Packaging Corporation of America (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3740,10,07/23/2014,Spouse,PSX,Phillips 66 (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3741,9,07/23/2014,Spouse,PBCT,People's United Financial Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3742,8,07/23/2014,Spouse,HSIC,"Henry Schein, Inc. (NASDAQ)",,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3743,7,07/23/2014,Spouse,PL,Protective Life Corporation (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3744,6,07/23/2014,Spouse,STE,Steris Corp. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3745,5,07/23/2014,Spouse,SNA,Snap-on Incorporated (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3746,4,07/23/2014,Spouse,WASH,Washington Trust Bancorp Inc. (NASDAQ),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3747,3,07/23/2014,Spouse,TRV,"The Travelers Companies, Inc. (NYSE)",,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3748,2,07/23/2014,Spouse,MLPRX,Oppenheimer SteelPath MLP Income C (NASDAQ),,Sale (Full),"$15,001 - $50,000",--,"Susan M,Collins"
3749,1,07/23/2014,Spouse,WEC,Wisconsin Energy Corp. (NYSE),,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3750,16,02/20/2015,Spouse,KMB,Kimberly-Clark Corporation (NYSE),Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3751,15,02/20/2015,Spouse,KMB,Kimberly-Clark Corporation (NYSE),Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3752,14,02/20/2015,Spouse,HAL,Halliburton Company (NYSE),Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3753,13,02/20/2015,Spouse,HAL,Halliburton Company (NYSE),Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3754,12,02/20/2015,Spouse,HAL,Halliburton Company (NYSE),Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3755,11,02/20/2015,Spouse,HAL,Halliburton Company (NYSE),Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3756,10,02/20/2015,Spouse,AXP,American Express Company (NYSE),Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3757,9,02/20/2015,Spouse,AXP,American Express Company (NYSE),Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3758,8,02/20/2015,Spouse,AXP,American Express Company (NYSE),Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3759,7,02/20/2015,Spouse,AXP,American Express Company (NYSE),Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3760,6,02/20/2015,Spouse,AXP,American Express Company (NYSE),Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3761,5,02/26/2015,Spouse,--,"Rochester NH
Rate/Coupon: 3.000
Matures: 03/01/2021",Municipal Security,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3762,4,03/20/2015,Spouse,HSY,The Hershey Company (NYSE),Stock,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3763,3,02/20/2015,Spouse,AYI,"Acuity Brands, Inc. (NYSE)",Stock,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3764,2,02/20/2015,Spouse,MMM,3M Company (NYSE),Stock,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3765,1,02/12/2015,Spouse,--,"Billings MT
Rate/Coupon: 3.000
Matures: 07/01/2021",Municipal Security,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3766,9,03/04/2014,Spouse,LBTYK,Liberty Global plc (NASDAQ),Stock,Exchange,"$1,001 - $15,000",Acquired through UBS act. thru stock split of LBTYA.,"Susan M,Collins"
3767,8,03/10/2014,Spouse,XTXI,"Crosstex Energy, Inc. (NASDAQ)",Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3768,7,03/12/2014,Spouse,NWL,Newell Rubbermaid Inc. (NYSE),,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3769,6,03/11/2014,Spouse,ACE,ACE Limited (NYSE),,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3770,5,03/11/2014,Spouse,VRX,"Valeant Pharmaceuticals International, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3771,4,03/07/2014,Spouse,FB,"Facebook, Inc. (NASDAQ)",,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3772,3,03/07/2014,Spouse,SLB,Schlumberger Limited (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3773,2,03/07/2014,Spouse,GE,General Electric Company (NYSE),,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3774,1,03/04/2014,Spouse,RHT,"Red Hat, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3775,5,02/01/2016,Spouse,--,Precision Castparts Corp,Stock,Sale (Partial),"$15,001 - $50,000",--,"Susan M,Collins"
3776,4,02/01/2016,Spouse,--,Precision Castparts Corp,Stock,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3777,3,02/01/2016,Spouse,--,Precision Castparts Corp,Stock,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3778,2,02/01/2016,Spouse,--,Precision Castparts Corp,Stock,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3779,1,02/09/2016,Spouse,EMC,EMC Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3780,8,03/10/2014,Spouse,XTXI,"Crosstex Energy, Inc. (NASDAQ)",Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3781,7,03/12/2014,Spouse,NWL,Newell Rubbermaid Inc. (NYSE),,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3782,6,03/11/2014,Spouse,ACE,ACE Limited (NYSE),,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3783,5,03/11/2014,Spouse,VRX,"Valeant Pharmaceuticals International, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3784,4,03/07/2014,Spouse,FB,"Facebook, Inc. (NASDAQ)",,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3785,3,03/07/2014,Spouse,SLB,Schlumberger Limited (NYSE),,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3786,2,03/07/2014,Spouse,GE,General Electric Company (NYSE),,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3787,1,03/04/2014,Spouse,RHT,"Red Hat, Inc. (NYSE)",,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3788,1,10/08/2020,Spouse,--,"Federal Farm Credit Bank 3133EMBH4
Rate/Coupon: 0.530%
Matures: 09/29/2025",Corporate Bond,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3789,7,12/18/2014,Spouse,TOLLX,Deutsche Global Infrastructure A (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3790,6,12/15/2014,Spouse,TOLLX,Deutsche Global Infrastructure A (NASDAQ),Stock,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3791,5,12/11/2014,Spouse,WASCX,Ivy Asset Strategy C (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3792,4,12/10/2014,Spouse,BMGAX,BlackRock Mid-Cap Growth Equity Inv A (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3793,3,12/10/2014,Spouse,BMGAX,BlackRock Mid-Cap Growth Equity Inv A (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3794,2,12/11/2015,Spouse,DVFAX,Cohen & Steers Dividend Value A (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3795,7,12/11/2014,Spouse,DVFAX,Cohen & Steers Dividend Value A (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3796,1,01/31/2017,Spouse,--,"Federal Farm Credit Bank 3133EGU94
Rate/Coupon: 2.300%
Matures: 12/14/2022",Corporate Bond,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
3797,7,12/18/2014,Spouse,TOLLX,Deutsche Global Infrastructure A (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3798,6,12/15/2014,Spouse,TOLLX,Deutsche Global Infrastructure A (NASDAQ),Stock,Sale (Partial),"$1,001 - $15,000",--,"Susan M,Collins"
3799,5,12/11/2014,Spouse,WASCX,Ivy Asset Strategy C (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3800,4,12/10/2014,Spouse,BMGAX,BlackRock Mid-Cap Growth Equity Inv A (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3801,3,12/10/2014,Spouse,BMGAX,BlackRock Mid-Cap Growth Equity Inv A (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3802,2,12/11/2015,Spouse,DVFAX,Cohen & Steers Dividend Value A (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3803,7,12/11/2014,Spouse,DVFAX,Cohen & Steers Dividend Value A (NASDAQ),Stock,Purchase,"$1,001 - $15,000",--,"Susan M,Collins"
3804,7,12/21/2018,Spouse,LIN,Linde plc,Stock,Sale (Full),"$15,001 - $50,000",--,"Susan M,Collins"
3805,6,12/21/2018,Spouse,FB,"Facebook, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3806,5,12/21/2018,Spouse,XOM,Exxon Mobil Corporation,Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3807,4,12/21/2018,Spouse,ENB,Enbridge Inc.,Stock,Sale (Full),"$15,001 - $50,000",--,"Susan M,Collins"
3808,3,12/21/2018,Spouse,CFR,"Cullen/Frost Bankers, Inc.",Stock,Sale (Full),"$1,001 - $15,000",--,"Susan M,Collins"
3809,2,12/21/2018,Spouse,STZ,"Constellation Brands, Inc.",Stock,Sale (Full),"$15,001 - $50,000",--,"Susan M,Collins"
3810,1,12/21/2018,Spouse,NEE,"NextEra Energy, Inc.",Stock,Purchase,"$15,001 - $50,000",--,"Susan M,Collins"
